date,rates
2/8/2023,5.33
3/8/2023,5.33
4/8/2023,5.33
7/8/2023,5.33
8/8/2023,5.33
9/8/2023,5.33
10/8/2023,5.33
11/8/2023,5.33
14/8/2023,5.33
15/8/2023,5.33
16/8/2023,5.33
17/8/2023,5.33
18/8/2023,5.33
21/8/2023,5.33
22/8/2023,5.33
23/8/2023,5.33
24/8/2023,5.33
25/8/2023,5.33
28/8/2023,5.33
29/8/2023,5.33
30/8/2023,5.33
31/8/2023,5.33
1/9/2023,5.33
5/9/2023,5.33
6/9/2023,5.33
7/9/2023,5.33
8/9/2023,5.33
11/9/2023,5.33
12/9/2023,5.33
13/9/2023,5.33
14/9/2023,5.33
15/9/2023,5.33
18/9/2023,5.33
19/9/2023,5.33
20/9/2023,5.33
21/9/2023,5.33
22/9/2023,5.33
25/9/2023,5.33
26/9/2023,5.33
27/9/2023,5.33
28/9/2023,5.33
29/9/2023,5.33
2/10/2023,5.33
3/10/2023,5.33
4/10/2023,5.33
5/10/2023,5.33
6/10/2023,5.33
10/10/2023,5.33
11/10/2023,5.33
12/10/2023,5.33
13/10/2023,5.33
16/10/2023,5.33
17/10/2023,5.33
18/10/2023,5.33
19/10/2023,5.33
20/10/2023,5.33
23/10/2023,5.33
24/10/2023,5.33
25/10/2023,5.33
26/10/2023,5.33
27/10/2023,5.33
30/10/2023,5.33
31/10/2023,5.33
1/11/2023,5.33
2/11/2023,5.33
3/11/2023,5.33
6/11/2023,5.33
7/11/2023,5.33
8/11/2023,5.33
9/11/2023,5.33
10/11/2023,5.33
13/11/2023,5.33
14/11/2023,5.33
15/11/2023,5.33
16/11/2023,5.33
17/11/2023,5.33
20/11/2023,5.33
21/11/2023,5.33
22/11/2023,5.33
24/11/2023,5.33
27/11/2023,5.33
28/11/2023,5.33
29/11/2023,5.33
30/11/2023,5.33
1/12/2023,5.33
4/12/2023,5.33
5/12/2023,5.33
6/12/2023,5.33
7/12/2023,5.33
8/12/2023,5.33
11/12/2023,5.33
12/12/2023,5.33
13/12/2023,5.33
14/12/2023,5.33
15/12/2023,5.33
18/12/2023,5.33
19/12/2023,5.33
20/12/2023,5.33
21/12/2023,5.33
22/12/2023,5.33
26/12/2023,5.33
27/12/2023,5.33
28/12/2023,5.33
29/12/2023,5.33
2/1/2024,5.33
3/1/2024,5.33
4/1/2024,5.33
5/1/2024,5.33
8/1/2024,5.33
9/1/2024,5.33
10/1/2024,5.33
11/1/2024,5.33
12/1/2024,5.33
16/1/2024,5.33
17/1/2024,5.33
18/1/2024,5.33
19/1/2024,5.33
22/1/2024,5.33
23/1/2024,5.33
24/1/2024,5.33
25/1/2024,5.33
26/1/2024,5.33
29/1/2024,5.33
30/1/2024,5.33
31/1/2024,5.33
1/2/2024,5.33
2/2/2024,5.33
5/2/2024,5.33
6/2/2024,5.33
7/2/2024,5.33
8/2/2024,5.33
9/2/2024,5.33
12/2/2024,5.33
13/2/2024,5.33
14/2/2024,5.33
15/2/2024,5.33
16/2/2024,5.33
20/2/2024,5.33
21/2/2024,5.33
22/2/2024,5.33
23/2/2024,5.33
26/2/2024,5.33
27/2/2024,5.33
28/2/2024,5.33
29/2/2024,5.33
1/3/2024,5.33
4/3/2024,5.33
5/3/2024,5.33
6/3/2024,5.33
7/3/2024,5.33
8/3/2024,5.33
11/3/2024,5.33
12/3/2024,5.33
13/3/2024,5.33
14/3/2024,5.33
15/3/2024,5.33
18/3/2024,5.33
19/3/2024,5.33
20/3/2024,5.33
21/3/2024,5.33
22/3/2024,5.33
25/3/2024,5.33
26/3/2024,5.33
27/3/2024,5.33
28/3/2024,5.33
29/3/2024,5.33
1/4/2024,5.33
2/4/2024,5.33
3/4/2024,5.33
4/4/2024,5.33
5/4/2024,5.33
8/4/2024,5.33
9/4/2024,5.33
10/4/2024,5.33
11/4/2024,5.33
12/4/2024,5.33
15/4/2024,5.33
16/4/2024,5.33
17/4/2024,5.33
18/4/2024,5.33
19/4/2024,5.33
22/4/2024,5.33
23/4/2024,5.33
24/4/2024,5.33
25/4/2024,5.33
26/4/2024,5.33
29/4/2024,5.33
30/4/2024,5.33
1/5/2024,5.33
2/5/2024,5.33
3/5/2024,5.33
6/5/2024,5.33
7/5/2024,5.33
8/5/2024,5.33
9/5/2024,5.33
10/5/2024,5.33
13/5/2024,5.33
14/5/2024,5.33
15/5/2024,5.33
16/5/2024,5.33
17/5/2024,5.33
20/5/2024,5.33
21/5/2024,5.33
22/5/2024,5.33
23/5/2024,5.33
24/5/2024,5.33
28/5/2024,5.33
29/5/2024,5.33
30/5/2024,5.33
31/5/2024,5.33
3/6/2024,5.33
4/6/2024,5.33
5/6/2024,5.33
6/6/2024,5.33
7/6/2024,5.33
10/6/2024,5.33
11/6/2024,5.33
12/6/2024,5.33
13/6/2024,5.33
14/6/2024,5.33
17/6/2024,5.33
18/6/2024,5.33
20/6/2024,5.33
21/6/2024,5.33
24/6/2024,5.33
25/6/2024,5.33
26/6/2024,5.33
27/6/2024,5.33
28/6/2024,5.33
1/7/2024,5.33
2/7/2024,5.33
3/7/2024,5.33
5/7/2024,5.33
8/7/2024,5.33
9/7/2024,5.33
10/7/2024,5.33
11/7/2024,5.33
12/7/2024,5.33
15/7/2024,5.33
16/7/2024,5.33
17/7/2024,5.33
18/7/2024,5.33
19/7/2024,5.33
22/7/2024,5.33
23/7/2024,5.33
24/7/2024,5.33
25/7/2024,5.33
26/7/2024,5.33
29/7/2024,5.33
30/7/2024,5.33
31/7/2024,5.33
1/8/2024,5.33
2/8/2024,5.33
5/8/2024,5.33
6/8/2024,5.33
7/8/2024,5.33
8/8/2024,5.33
9/8/2024,5.33
12/8/2024,5.33
13/8/2024,5.33
14/8/2024,5.33
15/8/2024,5.33
16/8/2024,5.33
19/8/2024,5.33
20/8/2024,5.33
21/8/2024,5.33
22/8/2024,5.33
23/8/2024,5.33
26/8/2024,5.33
27/8/2024,5.33
28/8/2024,5.33
29/8/2024,5.33
30/8/2024,5.33
3/9/2024,5.33
4/9/2024,5.33
5/9/2024,5.33
6/9/2024,5.33
9/9/2024,5.33
10/9/2024,5.33
11/9/2024,5.33
12/9/2024,5.33
13/9/2024,5.33
16/9/2024,5.33
17/9/2024,5.33
18/9/2024,5.33
19/9/2024,4.83
20/9/2024,4.83
23/9/2024,4.83
24/9/2024,4.83
25/9/2024,4.83
26/9/2024,4.83
27/9/2024,4.83
30/9/2024,4.83
1/10/2024,4.83
2/10/2024,4.83
3/10/2024,4.83
4/10/2024,4.83
7/10/2024,4.83
8/10/2024,4.83
9/10/2024,4.83
10/10/2024,4.83
11/10/2024,4.83
15/10/2024,4.83
16/10/2024,4.83
17/10/2024,4.83
18/10/2024,4.83
21/10/2024,4.83
22/10/2024,4.83
23/10/2024,4.83
24/10/2024,4.83
25/10/2024,4.83
28/10/2024,4.83
29/10/2024,4.83
30/10/2024,4.83
31/10/2024,4.83
1/11/2024,4.83
4/11/2024,4.83
5/11/2024,4.83
6/11/2024,4.83
7/11/2024,4.83
8/11/2024,4.58
12/11/2024,4.58
13/11/2024,4.58
14/11/2024,4.58
15/11/2024,4.58
18/11/2024,4.58
19/11/2024,4.58
20/11/2024,4.58
21/11/2024,4.58
22/11/2024,4.58
25/11/2024,4.58
26/11/2024,4.58
27/11/2024,4.58
29/11/2024,4.58
2/12/2024,4.58
3/12/2024,4.58
4/12/2024,4.58
5/12/2024,4.58
6/12/2024,4.58
9/12/2024,4.58
10/12/2024,4.58
11/12/2024,4.58
12/12/2024,4.58
13/12/2024,4.58
16/12/2024,4.58
17/12/2024,4.58
18/12/2024,4.58
19/12/2024,4.33
20/12/2024,4.33
23/12/2024,4.33
24/12/2024,4.33
26/12/2024,4.33
27/12/2024,4.33
30/12/2024,4.33
31/12/2024,4.33
